city,price,date,year,month
Ekaterimburgo,71.25,2013-01-01,2013,1
Ekaterimburgo,71.35,2013-02-01,2013,2
Ekaterimburgo,70.9,2013-03-01,2013,3
Ekaterimburgo,71.92,2013-04-01,2013,4
Ekaterimburgo,72.91,2013-05-01,2013,5
Ekaterimburgo,74.39,2013-06-01,2013,6
Ekaterimburgo,73.1,2013-07-01,2013,7
Ekaterimburgo,70.24,2013-08-01,2013,8
Ekaterimburgo,69.12,2013-09-01,2013,9
Ekaterimburgo,68.98,2013-10-01,2013,10
Ekaterimburgo,68.58,2013-11-01,2013,11
Ekaterimburgo,69.5,2013-12-01,2013,12
Ekaterimburgo,70.14,2014-01-01,2014,1
Ekaterimburgo,70.58,2014-02-01,2014,2
Ekaterimburgo,70.78,2014-03-01,2014,3
Ekaterimburgo,72.78,2014-04-01,2014,4
Ekaterimburgo,72.84,2014-05-01,2014,5
Ekaterimburgo,74.74,2014-06-01,2014,6
Ekaterimburgo,76.43,2014-07-01,2014,7
Ekaterimburgo,81.2,2014-08-01,2014,8
Ekaterimburgo,82.04,2014-09-01,2014,9
Ekaterimburgo,79.67,2014-10-01,2014,10
Ekaterimburgo,81.25,2014-11-01,2014,11
Ekaterimburgo,85.88,2014-12-01,2014,12
Ekaterimburgo,91.35,2015-01-01,2015,1
Ekaterimburgo,101.32,2015-02-01,2015,2
Ekaterimburgo,102.45,2015-03-01,2015,3
Ekaterimburgo,98.18,2015-04-01,2015,4
Ekaterimburgo,105.1,2015-05-01,2015,5
Ekaterimburgo,104.85,2015-06-01,2015,6
Ekaterimburgo,111.48,2015-07-01,2015,7
Ekaterimburgo,118.51,2015-08-01,2015,8
Ekaterimburgo,118.92,2015-09-01,2015,9
Ekaterimburgo,109.87,2015-10-01,2015,10
Ekaterimburgo,105.22,2015-11-01,2015,11
Ekaterimburgo,105.45,2015-12-01,2015,12
Ekaterimburgo,115.61,2016-01-01,2016,1
Ekaterimburgo,116.61,2016-02-01,2016,2
Ekaterimburgo,120.39,2016-03-01,2016,3
Ekaterimburgo,119.2,2016-04-01,2016,4
Ekaterimburgo,119.92,2016-05-01,2016,5
Ekaterimburgo,120.57,2016-06-01,2016,6
Ekaterimburgo,123.37,2016-07-01,2016,7
Ekaterimburgo,121.39,2016-08-01,2016,8
Ekaterimburgo,118.16,2016-09-01,2016,9
Ekaterimburgo,108.84,2016-10-01,2016,10
Ekaterimburgo,100.78,2016-11-01,2016,11
Ekaterimburgo,99.92,2016-12-01,2016,12
Ekaterimburgo,100.65,2017-01-01,2017,1
Ekaterimburgo,98.92,2017-02-01,2017,2
Ekaterimburgo,100.31,2017-03-01,2017,3
Ekaterimburgo,96.41,2017-04-01,2017,4
Ekaterimburgo,101.24,2017-05-01,2017,5
Ekaterimburgo,118.7,2017-06-01,2017,6
Ekaterimburgo,133.29,2017-07-01,2017,7
Ekaterimburgo,130.31,2017-08-01,2017,8
Ekaterimburgo,122.4,2017-09-01,2017,9
Ekaterimburgo,104.98,2017-10-01,2017,10
Ekaterimburgo,107.54,2017-11-01,2017,11
Ekaterimburgo,110.74,2017-12-01,2017,12
Ekaterimburgo,110.51,2018-01-01,2018,1
Ekaterimburgo,111.46,2018-02-01,2018,2
Ekaterimburgo,113.42,2018-03-01,2018,3
Ekaterimburgo,118.15,2018-04-01,2018,4
Ekaterimburgo,114.0,2018-05-01,2018,5
Ekaterimburgo,124.91,2018-06-01,2018,6
Ekaterimburgo,126.06,2018-07-01,2018,7
Ekaterimburgo,123.3,2018-08-01,2018,8
Ekaterimburgo,111.61,2018-09-01,2018,9
Ekaterimburgo,98.82,2018-10-01,2018,10
Ekaterimburgo,97.47,2018-11-01,2018,11
Ekaterimburgo,103.01,2018-12-01,2018,12
Ekaterimburgo,109.36,2019-01-01,2019,1
Ekaterimburgo,104.79,2019-02-01,2019,2
Ekaterimburgo,105.09,2019-03-01,2019,3
